"Year","Month","PV","MonYr"
"2013",11,0.051,"11/2013"
"2014",11,0,"11/2014"
"2015",11,0,"11/2015"
"2016",11,0,"11/2016"
"2017",11,0,"11/2017"
"2002",12,0.453,"12/2002"
"2003",12,0.35,"12/2003"
"2004",12,0.477,"12/2004"
"2005",12,0.622,"12/2005"
"2006",12,0.778,"12/2006"
"2007",12,1.204,"12/2007"
"2008",12,0.255,"12/2008"
"2009",12,0,"12/2009"
"2010",12,0,"12/2010"
"2011",12,0,"12/2011"
"2012",12,0,"12/2012"
"2013",12,0,"12/2013"
"2014",12,0,"12/2014"
"2015",12,0,"12/2015"
"2016",12,0,"12/2016"
"2017",12,0,"12/2017"
