"Year","Month","Bay","MonYr","Season","Station","Traps","Crabs","CPUE","log"
2004,4,"OTB","4-Apr","2","AR",20,39,1.95,0.469822015978163
2004,5,"MTB","4-May","2","AB",20,38,1.9,0.462397997898956
2004,5,"MTB","4-May","2","BH",20,42,2.1,0.491361693834273
2004,5,"OTB","4-May","2","AR",20,42,2.1,0.491361693834273
2004,6,"MTB","4-Jun","2","AB",25,49,1.96,0.471291711058939
2004,6,"MTB","4-Jun","2","BH",25,36,1.44,0.387389826338729
2004,6,"OTB","4-Jun","2","AR",25,45,1.8,0.447158031342219
2004,7,"MTB","4-Jul","3","AB",20,31,1.55,0.406540180433955
2004,7,"MTB","4-Jul","3","BH",20,30,1.5,0.397940008672038
2004,7,"OTB","4-Jul","3","AR",20,55,2.75,0.574031267727719
2004,8,"MTB","4-Aug","3","AB",25,12,0.48,0.170261715394957
2004,8,"MTB","4-Aug","3","BH",25,42,1.68,0.428134794028789
2004,8,"OTB","4-Aug","3","AR",25,13,0.52,0.181843587944773
2004,9,"MTB","4-Sep","3","AB",20,17,0.85,0.267171728403014
2004,9,"MTB","4-Sep","3","BH",20,23,1.15,0.332438459915605
2004,9,"OTB","4-Sep","3","AR",20,32,1.6,0.414973347970818
2004,10,"MTB","4-Oct","4","AB",20,33,1.65,0.423245873936808
2004,10,"MTB","4-Oct","4","BH",20,39,1.95,0.469822015978163
2004,10,"OTB","4-Oct","4","AR",20,132,6.6,0.880813592280791
2004,11,"MTB","4-Nov","4","AB",20,81,4.05,0.703291378118661
2004,11,"MTB","4-Nov","4","BH",20,29,1.45,0.389166084364532
2004,11,"OTB","4-Nov","4","AR",20,125,6.25,0.860338006570994
2004,12,"MTB","4-Dec","4","AB",25,56,2.24,0.510545010206612
2004,12,"MTB","4-Dec","4","BH",25,23,0.92,0.28330122870355
2004,12,"OTB","4-Dec","4","AR",25,73,2.92,0.593286067020457
2005,1,"MTB","5-Jan","1","AB",20,30,1.5,0.397940008672038
2005,1,"MTB","5-Jan","1","BH",19,10,0.526315789473684,0.183644396946127
2005,1,"OTB","5-Jan","1","AR",19,33,1.73684210526316,0.43724974268197
2005,2,"MTB","5-Feb","1","AB",20,29,1.45,0.389166084364532
2005,2,"MTB","5-Feb","1","BH",20,20,1,0.301029995663981
2005,2,"OTB","5-Feb","1","AR",20,27,1.35,0.371067862271736
2005,3,"MTB","5-Mar","1","AB",25,52,2.08,0.488550716500444
2005,3,"MTB","5-Mar","1","BH",25,43,1.72,0.434568904034199
2005,3,"OTB","5-Mar","1","AR",23,54,2.34782608695652,0.524762889154889
2005,4,"MTB","5-Apr","2","AB",20,30,1.5,0.397940008672038
2005,4,"MTB","5-Apr","2","BH",20,37,1.85,0.45484486000851
2005,4,"OTB","5-Apr","2","AR",18,51,2.83333333333333,0.583576585633949
2005,5,"MTB","5-May","2","AB",19,29,1.52631578947368,0.402487636422758
2005,5,"MTB","5-May","2","BH",18,31,1.72222222222222,0.434923574925208
2005,5,"OTB","5-May","2","AR",20,69,3.45,0.648360010980932
2005,6,"MTB","5-Jun","2","AB",22,42,1.90909090909091,0.463757293161681
2005,6,"MTB","5-Jun","2","BH",24,35,1.45833333333333,0.390640769930538
2005,6,"OTB","5-Jun","2","AR",24,66,2.75,0.574031267727719
2005,7,"MTB","5-Jul","3","AB",19,44,2.31578947368421,0.520586948500753
2005,7,"MTB","5-Jul","3","BH",15,59,3.93333333333333,0.693140460675295
2005,7,"OTB","5-Jul","3","AR",17,34,2,0.477121254719662
2005,8,"MTB","5-Aug","3","AB",20,38,1.9,0.462397997898956
2005,8,"MTB","5-Aug","3","BH",20,67,3.35,0.638489256954637
2005,8,"OTB","5-Aug","3","AR",19,45,2.36842105263158,0.527426373031058
