"Year","Month","Season","Species","Total","CPUE","logTSC"
2016,3,"1","SC",13837.25,63.1837899543379,4.1410811722452
2016,4,"2","SC",10693.3,55.6942708333333,4.029152362906
2016,5,"2","SC",6260.97,60.7861165048544,3.79671098265719
2016,6,"2","SC",260,260,2.41664050733828
2016,7,"3","SC",0,NA,0
2016,8,"3","SC",0,NA,0
2016,9,"3","SC",0,NA,0
2016,10,"4","SC",54853.11,166.726778115502,4.73920917308574
2016,11,"4","SC",77554.16,156.359193548387,4.88961069815189
2016,12,"4","SC",24082.13,86.6263669064748,4.38171292998571
2017,1,"1","SC",15722.26,72.7882407407407,4.19654259597995
2017,2,"1","SC",20462.9,81.5254980079681,4.31098840489287
2017,3,"1","SC",21025.87,94.7111261261261,4.32277462965745
2017,4,"2","SC",10769.03,72.2753691275168,4.03221691303023
2017,5,"2","SC",4552.1,39.5834782608696,3.65830718884789
2017,6,"2","SC",0,NA,0
2017,7,"3","SC",0,NA,0
2017,8,"3","SC",0,NA,0
2017,9,"3","SC",0,NA,0
2017,10,"4","SC",23830.22,100.975508474576,4.37714627590523
2017,11,"4","SC",18726.68,68.5958974358974,4.2724839799591
2017,12,"4","SC",22625.73,74.4267434210526,4.35462179453935
