"Year","Month","Season","Location","Station","Traps","Crabs","CPUE"
2007,9,"3","TB","RSK",8,40,5
2007,10,"4","TB","AMI",10,16,1.6
2007,10,"4","TB","BNP",8,39,4.875
2007,10,"4","TB","PSK",9,44,4.88888888888889
2007,10,"4","TB","RSK",9,47,5.22222222222222
2007,11,"4","TB","AMI",9,25,2.77777777777778
2007,11,"4","TB","BNP",10,36,3.6
2007,11,"4","TB","PSK",10,50,5
2007,11,"4","TB","RSK",10,62,6.2
2007,12,"4","TB","AMI",10,30,3
2007,12,"4","TB","BNP",10,40,4
2007,12,"4","TB","PSK",9,46,5.11111111111111
2007,12,"4","TB","RSK",10,61,6.1
2008,1,"1","TB","AMI",10,65,6.5
2008,1,"1","TB","BNP",9,38,4.22222222222222
2008,1,"1","TB","PSK",9,53,5.88888888888889
2008,1,"1","TB","RSK",10,95,9.5
2008,2,"1","TB","AMI",10,79,7.9
2008,2,"1","TB","BNP",10,54,5.4
2008,2,"1","TB","PSK",10,60,6
2008,2,"1","TB","RSK",10,76,7.6
2008,3,"1","TB","AMI",10,76,7.6
2008,3,"1","TB","BNP",5,36,7.2
2008,3,"1","TB","PSK",5,39,7.8
2008,3,"1","TB","RSK",5,35,7
2008,4,"2","TB","AMI",4,22,5.5
2008,4,"2","TB","BNP",10,75,7.5
2008,4,"2","TB","PSK",9,66,7.33333333333333
2008,4,"2","TB","RSK",8,58,7.25
2008,5,"2","TB","AMI",10,33,3.3
2008,5,"2","TB","BNP",10,60,6
2008,5,"2","TB","PSK",6,43,7.16666666666667
2008,5,"2","TB","RSK",9,73,8.11111111111111
2008,6,"2","TB","AMI",10,34,3.4
2008,6,"2","TB","BNP",10,49,4.9
2008,6,"2","TB","PSK",6,32,5.33333333333333
2008,6,"2","TB","RSK",10,98,9.8
2008,7,"3","TB","AMI",14,52,3.71428571428571
2008,7,"3","TB","BNP",14,77,5.5
2008,7,"3","TB","PSK",14,74,5.28571428571429
2008,7,"3","TB","RSK",14,94,6.71428571428571
2008,8,"3","TB","AMI",10,48,4.8
2008,8,"3","TB","BNP",10,59,5.9
2008,8,"3","TB","PSK",9,47,5.22222222222222
2008,8,"3","TB","RSK",10,81,8.1
2008,9,"3","TB","AMI",9,41,4.55555555555556
2008,9,"3","TB","BNP",10,67,6.7
2008,9,"3","TB","PSK",9,43,4.77777777777778
2008,9,"3","TB","RSK",10,70,7
2008,10,"4","TB","AMI",5,27,5.4
2008,10,"4","TB","PSK",10,56,5.6
2008,10,"4","TB","RSK",10,69,6.9
2008,11,"4","TB","AMI",11,102,9.27272727272727
2008,11,"4","TB","BNP",10,51,5.1
2008,11,"4","TB","PSK",10,79,7.9
2008,11,"4","TB","RSK",10,88,8.8
2008,12,"4","TB","AMI",10,75,7.5
2008,12,"4","TB","BNP",8,74,9.25
2008,12,"4","TB","PSK",9,70,7.77777777777778
2008,12,"4","TB","RSK",10,69,6.9
2009,1,"1","TB","AMI",10,28,2.8
2009,1,"1","TB","BNP",10,64,6.4
2009,1,"1","TB","PSK",10,69,6.9
2009,1,"1","TB","RSK",9,48,5.33333333333333
2009,2,"1","TB","AMI",10,77,7.7
2009,2,"1","TB","BNP",10,44,4.4
2009,2,"1","TB","PSK",8,25,3.125
2009,2,"1","TB","RSK",10,63,6.3
2009,3,"1","TB","AMI",5,63,12.6
2009,3,"1","TB","BNP",4,24,6
2009,3,"1","TB","PSK",5,16,3.2
2009,3,"1","TB","RSK",5,29,5.8
2009,4,"2","TB","AMI",10,50,5
2009,4,"2","TB","BNP",10,65,6.5
2009,4,"2","TB","PSK",10,58,5.8
2009,4,"2","TB","RSK",10,43,4.3
2009,5,"2","TB","AMI",10,34,3.4
2009,5,"2","TB","BNP",10,54,5.4
2009,5,"2","TB","PSK",10,59,5.9
2009,5,"2","TB","RSK",10,62,6.2
2009,6,"2","TB","AMI",5,19,3.8
2009,6,"2","TB","BNP",5,26,5.2
2009,6,"2","TB","PSK",5,37,7.4
2009,6,"2","TB","RSK",5,32,6.4
2009,7,"3","TB","AMI",10,45,4.5
2009,7,"3","TB","BNP",8,72,9
2009,7,"3","TB","PSK",10,75,7.5
2009,7,"3","TB","RSK",10,104,10.4
2009,8,"3","TB","AMI",10,33,3.3
2009,8,"3","TB","BNP",9,51,5.66666666666667
2009,8,"3","TB","PSK",10,58,5.8
2009,8,"3","TB","RSK",10,53,5.3
2009,9,"3","TB","AMI",10,25,2.5
2009,9,"3","TB","BNP",10,70,7
2009,9,"3","TB","PSK",10,57,5.7
2009,9,"3","TB","RSK",10,59,5.9
2009,10,"4","TB","AMI",14,62,4.42857142857143
2009,10,"4","TB","BNP",14,90,6.42857142857143
2009,10,"4","TB","PSK",14,85,6.07142857142857
2009,10,"4","TB","RSK",15,91,6.06666666666667
2009,11,"4","TB","AMI",10,60,6
2009,11,"4","TB","BNP",10,51,5.1
2009,11,"4","TB","PSK",8,49,6.125
2009,11,"4","TB","RSK",10,46,4.6
2009,12,"4","TB","AMI",4,34,8.5
2009,12,"4","TB","BNP",5,31,6.2
2009,12,"4","TB","PSK",5,24,4.8
2009,12,"4","TB","RSK",5,33,6.6
2010,1,"1","TB","AMI",10,77,7.7
2010,1,"1","TB","BNP",10,34,3.4
2010,1,"1","TB","PSK",10,36,3.6
2010,1,"1","TB","RSK",10,54,5.4
2010,2,"1","TB","AMI",9,91,10.1111111111111
2010,2,"1","TB","BNP",10,99,9.9
2010,2,"1","TB","PSK",10,50,5
2010,2,"1","TB","RSK",10,67,6.7
2010,3,"1","TB","AMI",10,77,7.7
2010,3,"1","TB","BNP",10,70,7
2010,3,"1","TB","PSK",10,30,3
2010,3,"1","TB","RSK",10,52,5.2
2010,4,"2","TB","AMI",10,94,9.4
2010,4,"2","TB","BNP",10,77,7.7
2010,4,"2","TB","PSK",10,54,5.4
2010,4,"2","TB","RSK",10,50,5
2010,5,"2","TB","AMI",10,54,5.4
2010,5,"2","TB","BNP",10,69,6.9
2010,5,"2","TB","PSK",9,63,7
2010,5,"2","TB","RSK",10,85,8.5
2010,6,"2","TB","AMI",10,67,6.7
2010,6,"2","TB","BNP",8,53,6.625
2010,6,"2","TB","PSK",8,55,6.875
2010,6,"2","TB","RSK",10,100,10
2010,7,"3","TB","AMI",10,74,7.4
2010,7,"3","TB","BNP",9,73,8.11111111111111
2010,7,"3","TB","PSK",9,65,7.22222222222222
2010,7,"3","TB","RSK",10,81,8.1
2010,8,"3","TB","AMI",10,64,6.4
2010,8,"3","TB","BNP",10,75,7.5
2010,8,"3","TB","PSK",9,47,5.22222222222222
2010,8,"3","TB","RSK",10,90,9
2010,9,"3","TB","AMI",10,51,5.1
2010,9,"3","TB","BNP",7,52,7.42857142857143
2010,9,"3","TB","PSK",7,36,5.14285714285714
2010,9,"3","TB","RSK",10,71,7.1
2010,10,"4","TB","AMI",10,52,5.2
2010,10,"4","TB","BNP",9,60,6.66666666666667
2010,10,"4","TB","PSK",10,54,5.4
2010,10,"4","TB","RSK",10,51,5.1
2010,11,"4","TB","AMI",10,41,4.1
2010,11,"4","TB","BNP",10,62,6.2
2010,11,"4","TB","PSK",10,65,6.5
2010,11,"4","TB","RSK",10,57,5.7
2010,12,"4","TB","AMI",2,0,0
2010,12,"4","TB","BNP",5,36,7.2
2010,12,"4","TB","PSK",5,33,6.6
2010,12,"4","TB","RSK",5,39,7.8
2011,1,"1","TB","AMI",8,46,5.75
2011,1,"1","TB","BNP",8,82,10.25
2011,1,"1","TB","PSK",9,95,10.5555555555556
2011,1,"1","TB","RSK",10,123,12.3
2011,2,"1","TB","AMI",13,85,6.53846153846154
2011,2,"1","TB","BNP",10,77,7.7
2011,2,"1","TB","PSK",10,60,6
2011,2,"1","TB","RSK",10,82,8.2
2011,3,"1","TB","AMI",10,95,9.5
2011,3,"1","TB","BNP",9,65,7.22222222222222
2011,3,"1","TB","PSK",8,54,6.75
2011,3,"1","TB","RSK",8,50,6.25
2011,4,"2","TB","AMI",9,63,7
2011,4,"2","TB","BNP",10,62,6.2
2011,4,"2","TB","PSK",10,62,6.2
2011,4,"2","TB","RSK",9,63,7
2011,5,"2","TB","AMI",10,68,6.8
2011,5,"2","TB","BNP",10,69,6.9
2011,5,"2","TB","PSK",10,56,5.6
2011,5,"2","TB","RSK",10,71,7.1
2011,6,"2","TB","AMI",9,57,6.33333333333333
2011,6,"2","TB","BNP",10,59,5.9
2011,6,"2","TB","PSK",10,62,6.2
2011,6,"2","TB","RSK",10,77,7.7
2011,7,"3","TB","AMI",5,24,4.8
2011,7,"3","TB","BNP",9,50,5.55555555555556
2011,7,"3","TB","PSK",5,14,2.8
2011,7,"3","TB","RSK",10,65,6.5
2011,9,"3","TB","AMI",5,23,4.6
2011,9,"3","TB","BNP",4,19,4.75
2011,9,"3","TB","PSK",5,16,3.2
2011,9,"3","TB","RSK",5,19,3.8
2011,10,"4","TB","AMI",5,15,3
2011,10,"4","TB","BNP",5,23,4.6
2011,10,"4","TB","PSK",5,20,4
2011,10,"4","TB","RSK",5,6,1.2
2011,11,"4","TB","AMI",4,24,6
2011,11,"4","TB","BNP",4,11,2.75
2011,11,"4","TB","PSK",4,18,4.5
2011,11,"4","TB","RSK",5,23,4.6
2011,12,"4","TB","AMI",8,71,8.875
2011,12,"4","TB","BNP",6,25,4.16666666666667
2011,12,"4","TB","PSK",9,43,4.77777777777778
2011,12,"4","TB","RSK",10,52,5.2
2012,1,"1","TB","AMI",12,87,7.25
2012,1,"1","TB","BNP",8,40,5
2012,1,"1","TB","PSK",10,47,4.7
2012,1,"1","TB","RSK",10,59,5.9
2012,2,"1","TB","AMI",10,33,3.3
2012,2,"1","TB","BNP",10,62,6.2
2012,2,"1","TB","PSK",10,34,3.4
2012,2,"1","TB","RSK",10,77,7.7
2012,3,"1","TB","AMI",10,73,7.3
2012,3,"1","TB","BNP",15,90,6
2012,3,"1","TB","PSK",10,62,6.2
2012,3,"1","TB","RSK",10,62,6.2
2012,4,"2","TB","AMI",10,28,2.8
2012,4,"2","TB","BNP",10,59,5.9
2012,4,"2","TB","PSK",10,46,4.6
2012,4,"2","TB","RSK",10,63,6.3
2012,5,"2","TB","AMI",10,38,3.8
2012,5,"2","TB","BNP",9,60,6.66666666666667
2012,5,"2","TB","PSK",10,45,4.5
2012,5,"2","TB","RSK",10,59,5.9
2012,6,"2","TB","AMI",5,12,2.4
2012,6,"2","TB","BNP",5,25,5
2012,6,"2","TB","PSK",5,15,3
2012,6,"2","TB","RSK",5,15,3
2012,7,"3","TB","AMI",4,14,3.5
2012,7,"3","TB","BNP",10,73,7.3
2012,7,"3","TB","PSK",6,37,6.16666666666667
2012,7,"3","TB","RSK",10,55,5.5
2012,8,"3","TB","AMI",5,14,2.8
2012,8,"3","TB","BNP",10,65,6.5
2012,8,"3","TB","PSK",5,20,4
2012,8,"3","TB","RSK",14,70,5
2012,9,"3","TB","AMI",2,19,9.5
2012,9,"3","TB","BNP",5,28,5.6
2012,9,"3","TB","PSK",5,24,4.8
2012,9,"3","TB","RSK",4,27,6.75
2012,10,"4","TB","AMI",10,69,6.9
2012,10,"4","TB","BNP",10,74,7.4
2012,10,"4","TB","PSK",10,61,6.1
2012,10,"4","TB","RSK",10,36,3.6
2012,11,"4","TB","AMI",10,118,11.8
2012,11,"4","TB","BNP",8,60,7.5
2012,11,"4","TB","PSK",9,21,2.33333333333333
2012,11,"4","TB","RSK",10,92,9.2
2012,12,"4","TB","AMI",9,11,1.22222222222222
2012,12,"4","TB","BNP",10,36,3.6
2012,12,"4","TB","PSK",10,0,0
2012,12,"4","TB","RSK",10,40,4
2013,1,"1","TB","AMI",9,6,0.666666666666667
2013,1,"1","TB","BNP",9,77,8.55555555555556
2013,1,"1","TB","PSK",10,9,0.9
2013,1,"1","TB","RSK",10,116,11.6
2013,2,"1","TB","AMI",6,28,4.66666666666667
2013,2,"1","TB","BNP",5,26,5.2
2013,2,"1","TB","PSK",4,14,3.5
2013,2,"1","TB","RSK",5,29,5.8
2013,3,"1","TB","AMI",5,13,2.6
2013,3,"1","TB","BNP",5,34,6.8
2013,3,"1","TB","PSK",5,31,6.2
2013,3,"1","TB","RSK",4,30,7.5
2013,4,"2","TB","AMI",10,49,4.9
2013,4,"2","TB","BNP",7,43,6.14285714285714
2013,4,"2","TB","PSK",5,21,4.2
2013,4,"2","TB","RSK",15,84,5.6
2013,5,"2","TB","AMI",10,27,2.7
2013,5,"2","TB","BNP",10,53,5.3
2013,5,"2","TB","PSK",10,52,5.2
2013,5,"2","TB","RSK",10,66,6.6
2013,6,"2","TB","AMI",9,27,3
2013,6,"2","TB","BNP",9,57,6.33333333333333
2013,6,"2","TB","PSK",10,48,4.8
2013,6,"2","TB","RSK",10,54,5.4
2013,7,"3","TB","AMI",8,31,3.875
2013,7,"3","TB","BNP",10,47,4.7
2013,7,"3","TB","PSK",8,35,4.375
2013,7,"3","TB","RSK",10,54,5.4
2013,8,"3","TB","AMI",5,6,1.2
2013,8,"3","TB","BNP",5,19,3.8
2013,8,"3","TB","PSK",5,27,5.4
2013,8,"3","TB","RSK",5,25,5
2013,9,"3","TB","AMI",10,25,2.5
2013,9,"3","TB","BNP",10,27,2.7
2013,9,"3","TB","PSK",9,39,4.33333333333333
2013,9,"3","TB","RSK",10,33,3.3
2013,10,"4","TB","AMI",10,41,4.1
2013,10,"4","TB","BNP",9,57,6.33333333333333
2013,10,"4","TB","PSK",10,69,6.9
2013,10,"4","TB","RSK",10,49,4.9
2013,11,"4","TB","AMI",5,23,4.6
2013,11,"4","TB","BNP",5,25,5
2013,11,"4","TB","PSK",5,44,8.8
2013,11,"4","TB","RSK",5,17,3.4
2013,12,"4","TB","AMI",9,90,10
2013,12,"4","TB","BNP",10,39,3.9
2013,12,"4","TB","PSK",9,68,7.55555555555556
2013,12,"4","TB","RSK",10,44,4.4
2014,1,"1","TB","AMI",10,67,6.7
2014,1,"1","TB","BNP",10,58,5.8
2014,1,"1","TB","PSK",9,52,5.77777777777778
2014,1,"1","TB","RSK",10,76,7.6
2014,2,"1","TB","AMI",7,51,7.28571428571429
2014,2,"1","TB","BNP",10,62,6.2
2014,2,"1","TB","PSK",10,56,5.6
2014,2,"1","TB","RSK",10,43,4.3
2014,3,"1","TB","AMI",4,33,8.25
2014,3,"1","TB","BNP",9,68,7.55555555555556
2014,3,"1","TB","PSK",9,65,7.22222222222222
2014,3,"1","TB","RSK",9,55,6.11111111111111
2014,4,"2","TB","AMI",9,76,8.44444444444444
2014,4,"2","TB","BNP",8,55,6.875
2014,4,"2","TB","PSK",9,49,5.44444444444444
2014,4,"2","TB","RSK",9,50,5.55555555555556
2014,5,"2","TB","AMI",4,26,6.5
2014,5,"2","TB","BNP",5,41,8.2
2014,5,"2","TB","PSK",5,42,8.4
2014,5,"2","TB","RSK",5,53,10.6
2014,6,"2","TB","AMI",10,48,4.8
2014,6,"2","TB","BNP",9,64,7.11111111111111
2014,6,"2","TB","PSK",9,68,7.55555555555556
2014,6,"2","TB","RSK",8,62,7.75
2014,7,"3","TB","AMI",10,34,3.4
2014,7,"3","TB","BNP",10,87,8.7
2014,7,"3","TB","PSK",10,49,4.9
2014,7,"3","TB","RSK",10,72,7.2
2014,8,"3","TB","AMI",9,21,2.33333333333333
2014,8,"3","TB","BNP",5,27,5.4
2014,8,"3","TB","PSK",9,31,3.44444444444444
2014,8,"3","TB","RSK",5,21,4.2
2014,9,"3","TB","AMI",9,15,1.66666666666667
2014,9,"3","TB","BNP",10,55,5.5
2014,9,"3","TB","PSK",10,40,4
2014,9,"3","TB","RSK",10,37,3.7
2014,10,"4","TB","AMI",10,15,1.5
2014,10,"4","TB","BNP",10,47,4.7
2014,10,"4","TB","PSK",10,38,3.8
2014,10,"4","TB","RSK",10,39,3.9
2014,11,"4","TB","AMI",4,5,1.25
2014,11,"4","TB","BNP",5,31,6.2
2014,11,"4","TB","PSK",5,29,5.8
2014,11,"4","TB","RSK",5,21,4.2
2014,12,"4","TB","AMI",10,24,2.4
2014,12,"4","TB","BNP",10,31,3.1
2014,12,"4","TB","PSK",10,33,3.3
2014,12,"4","TB","RSK",10,34,3.4
2015,1,"1","TB","AMI",10,19,1.9
2015,1,"1","TB","BNP",7,19,2.71428571428571
2015,1,"1","TB","PSK",9,39,4.33333333333333
2015,1,"1","TB","RSK",10,63,6.3
2015,2,"1","TB","AMI",9,44,4.88888888888889
2015,2,"1","TB","BNP",10,33,3.3
2015,2,"1","TB","PSK",10,57,5.7
2015,2,"1","TB","RSK",9,70,7.77777777777778
2015,3,"1","TB","AMI",10,68,6.8
2015,3,"1","TB","BNP",10,42,4.2
2015,3,"1","TB","PSK",10,61,6.1
2015,3,"1","TB","RSK",10,48,4.8
2015,4,"2","TB","AMI",10,56,5.6
2015,4,"2","TB","BNP",9,73,8.11111111111111
2015,4,"2","TB","PSK",10,79,7.9
2015,4,"2","TB","RSK",10,51,5.1
2015,5,"2","TB","AMI",11,69,6.27272727272727
2015,5,"2","TB","BNP",9,76,8.44444444444444
2015,5,"2","TB","PSK",10,75,7.5
2015,5,"2","TB","RSK",10,53,5.3
2015,6,"2","TB","AMI",9,34,3.77777777777778
2015,6,"2","TB","BNP",10,89,8.9
2015,6,"2","TB","PSK",10,83,8.3
2015,6,"2","TB","RSK",10,81,8.1
2015,7,"3","TB","AMI",15,32,2.13333333333333
2015,7,"3","TB","BNP",14,107,7.64285714285714
2015,7,"3","TB","PSK",15,122,8.13333333333333
2015,7,"3","TB","RSK",15,133,8.86666666666667
2015,8,"3","TB","AMI",8,33,4.125
2015,8,"3","TB","BNP",10,85,8.5
2015,8,"3","TB","PSK",8,63,7.875
2015,8,"3","TB","RSK",10,67,6.7
2015,9,"3","TB","AMI",9,24,2.66666666666667
2015,9,"3","TB","BNP",10,65,6.5
2015,9,"3","TB","PSK",9,41,4.55555555555556
2015,9,"3","TB","RSK",10,43,4.3
2015,10,"4","TB","AMI",10,46,4.6
2015,10,"4","TB","BNP",9,48,5.33333333333333
2015,10,"4","TB","PSK",10,48,4.8
2015,10,"4","TB","RSK",8,27,3.375
2015,11,"4","TB","AMI",5,24,4.8
2015,11,"4","TB","BNP",5,27,5.4
2015,11,"4","TB","PSK",5,29,5.8
2015,11,"4","TB","RSK",4,24,6
2015,12,"4","TB","AMI",10,76,7.6
2015,12,"4","TB","BNP",10,73,7.3
2015,12,"4","TB","PSK",10,63,6.3
2015,12,"4","TB","RSK",10,56,5.6
2016,1,"1","TB","AMI",10,75,7.5
2016,1,"1","TB","BNP",10,74,7.4
2016,1,"1","TB","PSK",10,70,7
2016,1,"1","TB","RSK",10,88,8.8
2016,2,"1","TB","AMI",7,39,5.57142857142857
2016,2,"1","TB","BNP",10,80,8
2016,2,"1","TB","PSK",10,69,6.9
2016,2,"1","TB","RSK",10,97,9.7
2016,3,"1","TB","AMI",15,127,8.46666666666667
2016,3,"1","TB","BNP",15,100,6.66666666666667
2016,3,"1","TB","PSK",15,101,6.73333333333333
2016,3,"1","TB","RSK",15,67,4.46666666666667
2016,4,"2","TB","AMI",10,34,3.4
2016,4,"2","TB","BNP",9,43,4.77777777777778
2016,4,"2","TB","PSK",9,43,4.77777777777778
2016,4,"2","TB","RSK",10,48,4.8
2016,5,"2","TB","AMI",10,45,4.5
2016,5,"2","TB","BNP",9,51,5.66666666666667
2016,5,"2","TB","PSK",10,54,5.4
2016,5,"2","TB","RSK",10,68,6.8
2016,6,"2","TB","BNP",5,31,6.2
2016,6,"2","TB","PSK",5,22,4.4
2016,6,"2","TB","RSK",5,45,9
2016,7,"3","TB","AMI",10,48,4.8
2016,7,"3","TB","BNP",10,64,6.4
2016,7,"3","TB","PSK",10,48,4.8
2016,7,"3","TB","RSK",10,78,7.8
2016,8,"3","TB","AMI",10,23,2.3
2016,8,"3","TB","BNP",9,49,5.44444444444444
2016,8,"3","TB","PSK",7,28,4
2016,8,"3","TB","RSK",9,55,6.11111111111111
2016,9,"3","TB","AMI",6,10,1.66666666666667
2016,9,"3","TB","BNP",10,34,3.4
2016,9,"3","TB","PSK",8,31,3.875
2016,9,"3","TB","RSK",9,30,3.33333333333333
2016,10,"4","TB","AMI",10,44,4.4
2016,10,"4","TB","BNP",10,65,6.5
2016,10,"4","TB","PSK",10,50,5
2016,10,"4","TB","RSK",10,59,5.9
2016,11,"4","TB","AMI",9,27,3
2016,11,"4","TB","BNP",10,54,5.4
2016,11,"4","TB","PSK",8,52,6.5
2016,11,"4","TB","RSK",10,32,3.2
2016,12,"4","TB","AMI",10,59,5.9
2016,12,"4","TB","BNP",10,40,4
2016,12,"4","TB","PSK",9,45,5
2016,12,"4","TB","RSK",10,30,3
2017,1,"1","TB","AMI",9,68,7.55555555555556
2017,1,"1","TB","BNP",10,43,4.3
2017,1,"1","TB","PSK",10,66,6.6
2017,1,"1","TB","RSK",10,48,4.8
2017,2,"1","TB","AMI",8,60,7.5
2017,2,"1","TB","BNP",10,59,5.9
2017,2,"1","TB","PSK",10,76,7.6
2017,2,"1","TB","RSK",10,60,6
2017,3,"1","TB","AMI",8,103,12.875
2017,3,"1","TB","BNP",10,65,6.5
2017,3,"1","TB","PSK",10,79,7.9
2017,3,"1","TB","RSK",10,42,4.2
2017,4,"2","TB","AMI",11,90,8.18181818181818
2017,4,"2","TB","BNP",10,46,4.6
2017,4,"2","TB","PSK",7,24,3.42857142857143
2017,4,"2","TB","RSK",10,39,3.9
2017,5,"2","TB","AMI",11,45,4.09090909090909
2017,5,"2","TB","BNP",10,45,4.5
2017,5,"2","TB","PSK",10,54,5.4
2017,5,"2","TB","RSK",10,40,4
2017,6,"2","TB","AMI",7,21,3
2017,6,"2","TB","BNP",10,39,3.9
2017,6,"2","TB","PSK",9,40,4.44444444444444
2017,6,"2","TB","RSK",10,60,6
2017,7,"3","TB","AMI",10,35,3.5
2017,7,"3","TB","BNP",10,70,7
2017,7,"3","TB","PSK",10,51,5.1
2017,7,"3","TB","RSK",10,82,8.2
2017,8,"3","TB","AMI",10,31,3.1
2017,8,"3","TB","BNP",8,51,6.375
2017,8,"3","TB","PSK",10,47,4.7
2017,8,"3","TB","RSK",10,70,7
2017,9,"3","TB","AMI",4,5,1.25
2017,9,"3","TB","BNP",2,19,9.5
2017,9,"3","TB","PSK",4,20,5
2017,9,"3","TB","RSK",5,20,4
2017,10,"4","TB","AMI",8,20,2.5
2017,10,"4","TB","BNP",9,48,5.33333333333333
2017,10,"4","TB","PSK",9,37,4.11111111111111
2017,10,"4","TB","RSK",10,36,3.6
2017,11,"4","TB","AMI",10,22,2.2
2017,11,"4","TB","BNP",10,44,4.4
2017,11,"4","TB","PSK",10,60,6
2017,11,"4","TB","RSK",10,38,3.8
2017,12,"4","TB","AMI",11,63,5.72727272727273
2017,12,"4","TB","BNP",10,48,4.8
2017,12,"4","TB","PSK",10,72,7.2
2017,12,"4","TB","RSK",10,54,5.4
