"Year","Month","Season","Species","Total","CPUE"
2013,2,"1","BC",51628.23,149.647043478261
2013,3,"1","BC",57762.11,152.005552631579
2013,4,"2","BC",55507.09,137.054543209877
2013,5,"2","BC",51507.21,109.823475479744
2013,6,"2","BC",42337.09,102.759927184466
2013,7,"3","BC",26472.93,100.65752851711
2013,8,"3","BC",39015.38,110.212937853107
2013,9,"3","BC",36310.09,109.367740963855
2013,10,"4","BC",33991.76,116.012832764505
2013,11,"4","BC",19814.95,95.2641826923077
2013,12,"4","BC",16966.42,92.7126775956284
2014,1,"1","BC",31162.06,131.485485232068
2014,2,"1","BC",41371.5,139.768581081081
2014,3,"1","BC",48485.6,130.337634408602
2014,4,"2","BC",55667.8,131.602364066194
2014,5,"2","BC",68604.55,149.791593886463
2014,6,"2","BC",77360.95,164.597765957447
2014,7,"3","BC",88242.14,180.086
2014,8,"3","BC",55363.65,136.363669950739
2014,9,"3","BC",37934.81,116.722492307692
2014,10,"4","BC",30195.4,111.0125
2014,11,"4","BC",17089.7,122.069285714286
2014,12,"4","BC",17445,117.871621621622
2015,1,"1","BC",21942.3,106.001449275362
2015,2,"1","BC",33024.9,125.094318181818
2015,3,"1","BC",47861.01,132.94725
2015,4,"2","BC",53126.4,138.35
2015,5,"2","BC",47338.6,120.148730964467
2015,6,"2","BC",36931,121.483552631579
2015,7,"3","BC",22790.43,114.524773869347
2015,8,"3","BC",29683.7,110.348327137546
2015,9,"3","BC",25801.2,108.86582278481
2015,10,"4","BC",24469.6,113.285185185185
2015,11,"4","BC",13836.5,85.4104938271605
2015,12,"4","BC",12021,78.5686274509804
2016,1,"1","BC",14210.3,91.0916666666667
2016,2,"1","BC",29811,129.051948051948
2016,3,"1","BC",48758.9,127.976115485564
2016,4,"2","BC",51679.05,124.527831325301
2016,5,"2","BC",65905.69,147.110915178571
2016,6,"2","BC",56960.65,136.596282973621
2016,7,"3","BC",51293.1,138.63
2016,8,"3","BC",49409.83,136.869335180055
2016,9,"3","BC",39794.8,129.624755700326
2016,10,"4","BC",28924.1,119.029218106996
2016,11,"4","BC",18959.8,123.115584415584
2016,12,"4","BC",19573.4,142.871532846715
2017,1,"1","BC",38560.1,159.339256198347
2017,2,"1","BC",56191.4,165.756342182891
2017,3,"1","BC",73688.66,179.291143552311
2017,4,"2","BC",63769.6,151.832380952381
2017,5,"2","BC",59459.75,141.570833333333
2017,6,"2","BC",45192.63,131.75693877551
2017,7,"3","BC",28900.73,113.782401574803
2017,8,"3","BC",36992.6,122.899003322259
2017,9,"3","BC",29536.13,123.067208333333
2017,10,"4","BC",34371.8,129.217293233083
2017,11,"4","BC",21282.18,117.581104972376
2017,12,"4","BC",14898,102.041095890411
